leto,podrocje,ime,URL,datum rojstva,drzava rojstva,nagrade
1938,Psihologija ali medicina,Corneille Heymans,https://en.wikipedia.org/wiki/Corneille_Heymans,1892-03-28,Belgium,Nobel Prize for Physiology or Medicine
1939,Psihologija ali medicina,Gerhard Domagk[b],https://en.wikipedia.org/wiki/Gerhard_Domagk%5Bb%5D,,,
1940,Psihologija ali medicina,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1941,Psihologija ali medicina,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1942,Psihologija ali medicina,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1943,Psihologija ali medicina,Henrik Dam,https://en.wikipedia.org/wiki/Henrik_Dam,1895-02-21,Denmark,Nobel Prize in Physiology or Medicine
1943,Psihologija ali medicina,Edward Adelbert Doisy,https://en.wikipedia.org/wiki/Edward_Adelbert_Doisy,1893-11-13,U.S.,Willard Gibbs Award; Nobel Prize in Physiology or Medicine
1944,Psihologija ali medicina,Joseph Erlanger,https://en.wikipedia.org/wiki/Joseph_Erlanger,1874-01-05,U.S.,Nobel Prize in Medicine
1944,Psihologija ali medicina,Herbert Spencer Gasser,https://en.wikipedia.org/wiki/Herbert_Spencer_Gasser,1888-07-05,U.S.,Nobel Prize for Physiology or Medicine
1945,Psihologija ali medicina,Alexander Fleming,https://en.wikipedia.org/wiki/Alexander_Fleming,1881-08-06,Scotland,Nobel Prize in Physiology or Medicine  [ 1 ]; Nobel Prize in Physiology or Medicine; [ 1 ]; Cameron Prize for Therapeutics of the University of Edinburgh; Actonian Prize
1945,Psihologija ali medicina,Ernst Chain,https://en.wikipedia.org/wiki/Ernst_Chain,1906-06-19,German Empire,Nobel Prize in Physiology or Medicine; Fellow of the Royal Society; Paul Ehrlich and Ludwig Darmstaedter Prize; Knight Bachelor
1945,Psihologija ali medicina,Howard Florey,https://en.wikipedia.org/wiki/Howard_Florey,1898-09-24,South Australia,Fellow of the Royal Society  Knight Bachelor  Cameron Prize for Therapeutics of the University of Edinburgh  Nobel Prize in Physiology or Medicine  Lister Medal  Royal Medal  Copley Medal  Life peer  Order of Merit; Fellow of the Royal Society; Knight Bachelor; Cameron Prize for Therapeutics of the University of Edinburgh; Nobel Prize in Physiology or Medicine; Lister Medal; Royal Medal; Copley Medal; Life peer; Order of Merit
1946,Psihologija ali medicina,Hermann Joseph Muller,https://en.wikipedia.org/wiki/Hermann_Joseph_Muller,1890-12-21,U.S.,Newcomb Cleveland Prize; 1946 Nobel Prize in Physiology or Medicine; Nobel Prize in Physiology or Medicine; Linnean Society of London 's Darwin–Wallace Medal; Linnean Society of London; Darwin–Wallace Medal; 1963 Humanist of the Year ( American Humanist Association ); American Humanist Association
